Ingredient,Amount,Unit,Description
"Spinach, unprepared, chopped or leaf, frozen",340,g,"12 ounce"
"Onions, raw",70,g,"1 small"
"Salt, table",2,g,"0.25 tsp"
"Spices, black, pepper",1,g,"0.25 tsp, ground"
"Minced garlic by STONEMILL",10,g,"2 tsp"
"Italian seasoning by Raley's",2,g,"0.5 tsp"
"Spices, onion powder",1,g,"0.5 tsp"
"Spices, paprika",1,g,"0.25 tsp"
"Chicken, raw, meat only, boneless, skinless, breast, broiler or fryers",907,g,"2 pound"
"Spices, garlic powder",6,g,"2 tsp"
"Ground black pepper by Grace Kennedy Co. Ltd",1,g,"0.5 tsp"
"Minced garlic by MEMBER'S MARK",15,g,"3 tsp"
"Italian seasoning by ROUNDY'S",0,g,"0.25 tsp"
"Spices, dried, basil",0,g,"0.25 tsp, leaves"
"Onion powder by ADAMS",2,g,"0.5 tsp"
"Table salt by FIRST STREET",2,g,"0.25 tsp"
"Extra virgin olive oil by QO",7,g,"0.5 tbsp"
"Low sodium chicken broth by Glencourt Inc.",180,g,"0.75 cup"
"Unsweetened original almond milk by Supervalu, Inc.",180,g,"0.75 cup"
"Cornstarch by Tops Markets, LLC",4,g,"0.5 tbsp"
"Nonfat cottage cheese by FRESH & EASY",75,g,"0.33 cup"
Servings,5
