Ingredient,Amount,Unit,Description
"Natural peanut butter",16,g,"1 tbsp"
"Honey",21,g,"1 tbsp"
"Unsweetened applesauce",20,g,"4 tsp"
"Nonfat cottage cheese",113,g,"1/2 cup"
"Vanilla extract",5,g,"1 tsp"
"Salt",1.5,g,"1/4 tsp"
"Cocoa powder",20,g,"1/4 cup"
"Powdered peanut butter",24,g,"1/4 cup"
"Oat flour",45,g,"1/2 cup"
"Extra virgin coconut oil",34,g,"2.5 tbsp"
"Cocoa powder",35,g,"7 tbsp"
"Honey",21,g,"1 tbsp"
"Vanilla extract",2.5,g,"1/2 tsp"
"Almond extract",1.25,g,"1/4 tsp"
"Salt",0,g,"Small pinch"
Servings,18
