Ingredient,Amount,Unit,Description
"Nuts, almonds",18,g,"0.125 cup, whole"
"Spinach, unprepared, chopped or leaf, frozen",103,g,"0.66 cup"
"Minced garlic by STONEMILL",20,g,"4 tsp"
"Kraft Grated Parmesan Cheese",45,g,"18 teaspoons"
"Spices, garlic powder",2,g,"0.5 tsp"
"Spices, onion powder",1,g,"0.5 tsp"
"Salt, table",2,g,"0.25 tsp"
"Spices, black, pepper",1,g,"0.25 tsp, ground"
"Extra virgin olive oil by QO",28,g,"2 tbsp (15.0 ml) aprx"
"Lemon juice from concentrate, REAL LEMON, bottled",30,g,"2 tbsp"
"Water, generic, bottled",30,g,"0.125 cup"
Servings,6
